Customer ID,loan_default,loan_amount,annual_income,age,employment_length,debt_to_income,credit_limit,credit_used,monthly_debt,recent_inquiries,credit_history_length,monthly_payment,has_mortgage,has_dependents,zipcode,loan_purpose
CUST-00000,0,23430.189414526925,116301.16575353718,45.0,12.0,0.475835505270914,31962.56639063853,21733.793191005516,4611.685330827557,5.0,15.0,497.82228208393957,Yes,No,93810,credit_card_refinancing
CUST-00001,0,24533.8508864385,92876.71494662912,49.0,10.0,0.3414139648232642,24450.54362499986,17570.58863594421,2642.4506241407307,5.0,14.0,521.2718267237491,No,No,24592,home_buying
CUST-00002,0,32162.58601585277,154009.9423496041,49.0,20.0,0.35433294805949633,28401.223551660696,21950.77849143844,4547.566408600691,5.0,18.0,683.3599031088374,No,Yes,13278,wedding
CUST-00003,0,27711.722186938336,74817.69680151866,50.0,15.0,0.4714105656882389,15348.14170954553,10539.87856559782,2939.154397724588,6.0,14.0,588.7922003321255,No,No,46048,car_financing
CUST-00004,0,24803.000930354923,138171.46242314277,48.0,18.0,0.38282009098423064,35349.62054772665,27884.07251413558,4407.900984687643,3.0,19.0,526.990469740881,Yes,No,42098,major_purchase
CUST-00005,0,35927.191857360085,140725.8902334346,53.0,26.0,0.24870180372133538,18459.393589160645,9838.005299777871,2916.565227612153,5.0,16.0,763.3466517436453,Yes,No,39256,other
CUST-00006,0,25510.774941550037,169784.2402395364,40.0,12.0,0.4950677981114543,30660.168388281418,27136.181783946144,7004.559164117788,4.0,21.0,542.0285758022173,Yes,Yes,28289,credit_card_refinancing
CUST-00007,0,30032.58181603542,166513.47776934417,53.0,17.0,0.3934740827949509,27762.735991493344,17701.457898191507,5459.894828190845,4.0,15.0,638.1036086401289,No,No,23434,credit_card_refinancing
CUST-00008,0,20844.26391955838,91432.27230820253,51.0,13.0,0.5050469768030722,27501.587630836722,20221.63027324373,3848.132725957745,5.0,19.0,442.87900747233414,No,No,98696,vacation
CUST-00009,1,25837.609635809906,162922.58368751808,43.0,13.0,0.583386366056796,26399.581762647606,19422.594020687804,7920.56783717045,3.0,13.0,548.9728471643506,No,No,81482,small_business
CUST-00010,0,35895.462648839384,163625.54834537677,50.0,20.0,0.3422440040917263,22694.409591218297,15380.557579509714,4666.655236452173,4.0,11.0,762.6724998315528,Yes,No,21395,home_improvement
CUST-00011,0,39376.44823826495,173279.68172390043,48.0,17.0,0.27041087431190247,19615.44837987564,13645.223588937206,3904.7258529540086,5.0,9.0,836.6331562893586,No,No,87397,major_purchase
CUST-00012,0,24729.588912929827,154189.11933304952,53.0,18.0,0.3602849782863863,37035.116888158096,28796.652592086575,4629.335292575397,3.0,20.0,525.4306813243056,No,No,65302,vacation
CUST-00013,0,28434.45659650305,96660.54003547484,46.0,13.0,0.4666787263983432,21854.575288701708,13981.085866785686,3759.1181430609554,6.0,11.0,604.148170646519,Yes,No,14165,other
CUST-00014,0,27720.20166332981,131437.28111193705,48.0,19.0,0.3331096047749513,32851.46650143681,24863.047583872405,3648.5850636576265,4.0,18.0,588.9723641461434,Yes,No,13905,other
CUST-00015,0,26787.05757112366,145227.42090751335,34.0,13.0,0.5575003414441682,33978.88879484276,15003.427963547378,6747.028061916219,4.0,6.0,569.1458098969833,Yes,Yes,22280,wedding
CUST-00016,0,30899.572431438857,88318.67804143195,50.0,19.0,0.6697580794380806,24343.41837268048,13611.022707290009,4929.345681961638,8.0,10.0,656.5245970098557,Yes,Yes,38657,credit_card_refinancing
CUST-00017,1,28452.024425448784,163615.2744084037,47.0,14.0,0.3991101832656494,26164.353304359927,17204.044213170957,5441.71017951646,4.0,16.0,604.521435093609,No,Yes,40495,home_improvement
CUST-00018,1,24331.894554768212,145108.90726384107,38.0,10.0,0.36523426771826106,35894.44402988776,24773.26856631241,4416.562123658837,4.0,13.0,516.9808515150266,No,Yes,76237,credit_card_refinancing
CUST-00019,1,26239.162426279392,173396.73301731073,34.0,12.0,0.36494181852047936,26747.420562664993,19028.06622280402,5273.309922737285,2.0,17.0,557.5046572573904,Yes,Yes,88907,car_financing
CUST-00020,0,29767.53897366325,105405.88573619133,44.0,19.0,0.23743267548508656,22913.09645365727,12296.596296883754,2085.5667885182693,4.0,11.0,632.4722315178457,No,Yes,13478,medical_expenses
CUST-00021,0,33498.08203890514,108442.1440979737,46.0,26.0,0.19560493874754137,26131.622848203497,18593.206398675553,1767.6515794946833,4.0,16.0,711.7352468223521,Yes,Yes,83563,home_buying
