id,name,value,category
1,Person_1,-0.8666965149242851,D
2,Person_2,-0.5885695222101094,D
3,Person_3,1.686021409382678,A
4,Person_4,0.4762586065790758,D
5,Person_5,0.2895883091258804,C
6,Person_6,0.49678186233227767,C
7,Person_7,0.13508934722318355,B
8,Person_8,-0.5963725592961504,D
9,Person_9,-1.1357604732873656,B
10,Person_10,0.5057520568163677,A
11,Person_11,0.06039872826193438,D
12,Person_12,1.0829655852720605,B
13,Person_13,-1.9642303720405014,C
14,Person_14,1.3407693487547834,A
15,Person_15,-0.026052488860934277,C
16,Person_16,-0.971369533124376,A
17,Person_17,-1.5713725527385347,A
18,Person_18,0.7763158516151271,B
19,Person_19,-2.520728353759291,C
20,Person_20,-0.1996395707903849,B
21,Person_21,0.25496634279424046,D
22,Person_22,0.8306750153825349,B
23,Person_23,0.3286330894883028,C
24,Person_24,0.15967369932953715,D
25,Person_25,-0.07590803050515621,B
26,Person_26,-0.9135409190571189,B
27,Person_27,0.9989045025621208,A
28,Person_28,0.13976117871241805,C
29,Person_29,0.7490141759919832,B
30,Person_30,-0.4871262584479299,D
31,Person_31,-1.74164517026963,D
32,Person_32,-0.8722067492186578,A
33,Person_33,-0.5190086698962021,D
34,Person_34,-1.4434468876418474,B
35,Person_35,0.4484419440922824,C
36,Person_36,-0.17360272586870304,A
37,Person_37,-1.8453062430847342,D
38,Person_38,-0.8328991367758152,A
39,Person_39,-0.32626414421132954,A
40,Person_40,-0.7986529006688579,C
41,Person_41,0.8990144016867668,A
42,Person_42,-1.2852850092244539,A
43,Person_43,-1.33942435547033,C
44,Person_44,-0.5821167839669269,A
45,Person_45,-0.7489468083798517,B
46,Person_46,1.0539144758210954,A
47,Person_47,-1.2669801629815123,A
48,Person_48,-0.0035516728614382585,A
49,Person_49,-1.3247786318536328,C
50,Person_50,-0.4661134780337022,C
51,Person_51,-0.4788623028825169,B
52,Person_52,1.1396449217713118,B
53,Person_53,0.5965571087523865,D
54,Person_54,-0.9285611559489486,C
55,Person_55,-0.23243952408399537,B
56,Person_56,1.5435491288063192,B
57,Person_57,-2.288985955129423,A
58,Person_58,-0.6851656080622629,C
59,Person_59,1.1219161510190196,A
60,Person_60,0.8099078149344124,B
61,Person_61,-0.09598743801420626,C
62,Person_62,-1.3244007958300574,B
63,Person_63,-0.40622387271369786,C
64,Person_64,0.7818077869970772,D
65,Person_65,-0.32773200466519564,B
66,Person_66,1.5286683915976695,C
67,Person_67,-0.47850889874065744,A
68,Person_68,0.8720841990264547,D
69,Person_69,-0.5273792286683768,D
70,Person_70,0.37604808551557245,D
71,Person_71,0.26963665424728583,D
72,Person_72,-0.0964637784975528,D
73,Person_73,-1.4089772685562292,C
74,Person_74,-0.2796222576282152,B
75,Person_75,-0.6632118558969115,C
76,Person_76,0.9221118783226492,C
77,Person_77,-0.15433163358551363,A
78,Person_78,-0.9567192143341982,A
79,Person_79,-0.16511709707245845,D
80,Person_80,-0.34540837273295844,B
81,Person_81,-0.3346800046756865,D
82,Person_82,0.13252882651207448,B
83,Person_83,-0.23873053794059879,A
84,Person_84,0.05485967856427732,C
85,Person_85,-0.3338723940667558,D
86,Person_86,0.3494247232578238,C
87,Person_87,0.21436824433558097,B
88,Person_88,2.092550600510857,A
89,Person_89,-0.2998811182239189,D
90,Person_90,-1.041864200514524,C
91,Person_91,-1.0457580636718355,B
92,Person_92,1.6222866095056157,D
93,Person_93,-0.07016166526789863,B
94,Person_94,0.17343682755176956,C
95,Person_95,-0.30739539001539024,B
96,Person_96,0.22646869282148138,A
97,Person_97,-0.5333832324224688,D
98,Person_98,0.5536111916140938,C
99,Person_99,-0.08001982079924372,C
100,Person_100,0.5195890906491125,B
101,Person_101,-2.842234544488345,D
102,Person_102,-0.38666986753352506,C
